,business_id,date,review_id,stars,text,type,user_id,cool,useful,funny
15,Vb9FPCEL6Ly24PNxLBaAFw,2011-03-20,HvqmdqWcerVWO3Gs6zbrOw,2,"Was it worth the 21$ for a salad and small pizza? Absolutely not! Bad service. Maybe the guys grandma died I don't know. I want to tell you what really made me mad about the experience. We order the small pizza and salad and the guys could have cared less and took our $ and we sat down. We were looking around and hmm, there's a sign saying ""x large pizza and large salad only 23$"". Wow that would have been nice if the guy told us that. I left hungry, mad and unsatisfied. 

To the owner: teach your employees the value of upselling and telling the specials. Something so small can affect a customers experience negatively. 

And your salads are severely overpriced 

Won't go back unless I'm desperate.",review,ylWOj2y7TV2e3yYeWhu2QA,0,2,0
23,IJ0o6b8bJFAbG6MjGfBebQ,2010-09-05,Dx9sfFU6Zn0GYOckijom-g,1,"U can go there n check the car out. If u wanna buy 1 there? That's wrong move! If u even want a car service from there? U made a biggest mistake of ur life!! I had 1 time asked my girlfriend to take my car there for an oil service, guess what? They ripped my girlfriend off by lying how bad my car is now. If without fixing the problem. Might bring some serious accident. Then she did what they said. 4 brand new tires, timing belt, 4 new brake pads. U know why's the worst? All of those above I had just changed 2 months before!!! What a trashy dealer is that? People, better off go somewhere!",review,zRlQEDYd_HKp0VS3hnAffA,0,1,1
31,vvA3fbps4F9nGlAEYKk_sA,2012-05-04,S9OVpXat8k5YwWCn6FAgXg,1,Disgusting!  Had a Groupon so my daughter and I tried it out.  Very outdated and gaudy 80's style interior made me feel like I was in an episode of Sopranos.  The food itself was pretty bad.  We ordered pretty simple dishes but they just had no flavor at all!  After trying it out I'm positive all the good reviews on here are employees or owners creating them.,review,8AMn6644NmBf96xGO3w6OA,0,1,0
35,o1GIYYZJjM6nM03fQs_uEQ,2011-11-30,ApKbwpYJdnhhgP4NbjQw2Q,1,"I've eaten here many times, but none as bad as last night.
Service was excellent, and highly attentive.
Food, absolutely horrible.

My expectation was they would serve a steak on par with their seafood. After all, they were charging 39 bucks for a ribeye. 
What I was hoping for was a 1- 1-1/2' thick steak, cooked Pittsburgh style as I had ordered. 
What I got a a 3/4 in thick piece of meat that was mostly fat, gristle, and in no way resembled Pittsburgh Style. 
Salad, similar to something you could get at Chick Filet
Veggies, blah.
Bread basket, ample, but day old, and if not, it certainly wasn't fresh. 

In addition to bad food, we were crammed into a small room where we were nuts to butts with 6 other tables, listening to conversations ranging from someone's recent bout with pinkeye, and another couple who elected to speak entirely in French, until the waiter showed up, then it was like they turned off the French switch and suddenly began speaking English. 

I've had it with this place.
If I'm going to pay 150 bucks for dinner, it'll be at Mortons, or Maestro where the steaks are 1-1/2 in thick, cooked to perfection, and half of it doesnt wind up on the plate as fat and gristle",review,iwUN95LIaEr75TZE_JC6bg,0,4,3
56,tA2DT7CGQPzgA6tTcTkXDw,2009-09-02,VyX6x7wnThr9g9Z6VBDIgA,2,"I have to add to Andrew's review.....

I just can't believe the things that happened!!

Yes the app was good.  The entree was good too, but there were bites of just bread with no chicken in the panini.  It definitely would have been better with more chicken!

But the girl working here is one of the worst waitress/bartender/hostesses EVER!

When we walked in, she didn't even sit us.  We stood there forever waiting until she finally told us to seat ourselves.  We went outside since there was nothing left inside.  It was too hot outside so we came back in and figured we'd sit at the bar.  Luckily a nice guy noticed us looking around and let us sit at the end of his table that he moved apart since his whole party didn't show up for dinner.

I was so excited when I saw they had cider on their menu!  And not just one, but two that I like!  Wyder's Pear Cider and Strongbow!!  
I ordered a Wyder's.  After I finished it and asked for another, she said they were out of them.  Okay, so I ordered a strongbow.  She came back and poured it into a glass for me.  When I took a drink it was disgusting!!  It was Boddington's!!!!  When I finally got her attention away from flirting with a man sitting at the bar to ask her for the correct drink, she told me they were out of Strongbow too!  How are you out of both drinks??  You're a restaurant.  Shouldn't it be stocked?  You're right across from a BevMo for god's sake!

When we ordered our food, he ordered the app.  Then I ordered my entree and she walked away!  She didn't even get his order!!!!  We figured it was probably for the best.  We'd split the app and the entree and eat less.  Stupid of the waitress to lose money that way, but whatever.

When she brought my food, she didn't bring the correct things.  How hard is it to remember?  She had maybe 4 tables to take care of!  Maybe if she stopped texting while she's behind the bar on her cell phone or if she'd stop having a conversation with the guy at the bar, maybe she could have done her job a little better.",review,UL9chyH0a4Pj8J_9M6WSpA,1,2,2
61,l4vBbCL9QbGiwLuLKwD_bA,2011-11-22,DJVxOfj2Rw9zklC9tU3i1w,1,"I have always been a fan of Burlington's deals, however I will not be shopping at this one again. I went to return a belt... pretty simple. Instead, I stood in the customer service line for 15 minutes thanks to an employee of Burlington buying/putting things on layaway. It took three other staff to help her out. There were no words said to me except ""Hold on"". I was pissed. When the lady was finally done, the employee at the service asked ""what do you want?"" Serious help is needed there!
 If you work in the area of ""customer service"" I think you should have some.",review,EPROVap0M19Y6_4uf3eCmQ,0,0,0
64,CEswyP-9SsXRNLR9fFGKKw,2012-05-19,GXj4PNAi095-q9ynPYH3kg,1,Another night meeting friends here.  I have to laugh.  Waited another 20 minutes for my beer to be refilled at the bar.  A girl even took my empty without even asking if I wanted a refill.  A new brunette girl that I don't recognize left the bar and sat down with her guy friends on the customer side AT 9:25 ON A FRIDAY NIGHT.  Another bartender had to ask her to come back and work.  Management....  Pull your head out of your ass!  Sad to watch....  I need to talk my friends into another place!,review,MjLAe48XNfYlTeFYca5gMw,0,1,2
65,6Ry-gjGqApTSRZkfdYlLmw,2011-05-04,LN4l4wklQB0IVBjm-vq9TA,1,"Not busy at all but took nearly 45 min to get our meal.  Ordered the trout and was shocked to see lots and lots of bones. Hmmmmm. Well asked the waitress about it and she said ""they try the best they can""  hmmmmmm isn't this a ""fish"" restaurant? 
They comped the trout but still not sure I would go back.",review,rWN1pg3mCF2btJWtG6JmJA,0,1,0
71,NNGJQF3WeIHzGzweCpZ-VA,2011-04-23,jNewOjPp56NMDrKlajrgFQ,1,"Yikes, reading other reviews I realize my bad experience wasn't unique. As a server I make a very laid back customer. I like pretty much everything I eat and don't require a lot of attention from the waiter. 

La Piccola Cucina would benefit from just one extra person in the front of the house. Our guy, though adorable and friendly, was too busy to refill our drinks and to remember to bring our appetizer (though charged us for it). The ahi tuna (highly recommended over the other fish options he said) was so overcooked it was the color and consistency of chicken. Like other reviewers mentioned, he was frantic and made that clear to every customer. At one point I even saw him in the kitchen cooking - they need another person! 

I left super stressed out from the experience, which is very, very unusual for me. You can either have bad service or bad food, but not both.",review,5je-Jg8tq5BWxJtDBmTK2Q,0,6,1
79,FkHhy6kWeoJf0xJTqzRWmg,2012-09-17,odua8qFSMEXSFYmElQTspQ,1,"This is my first year participating in Arizona to sell clothing, just wandering how busy its goona be in there ??? little worried, can any one reply me ??",review,68exKLCQnnZrvXNFOcIUnA,0,0,0
